Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1664433607224467456,"@robbystarbuck @realDailyWire @MattWalshBlog @Twitter @JeremyDBoreing We’re updating the system tomorrow so that those who follow @realDailyWire will see this in their feed, but it won’t be recommended to non-followers (nor will any advertising be associated with it)",Elon Musk,elonmusk,2023-06-02T00:47:50.000Z,Fri Jun 02 00:47:50 +0000 2023,12104,1331,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,6,,,,,
1664431298767642624,@goth600 ??,Elon Musk,elonmusk,2023-06-02T00:38:39.000Z,Fri Jun 02 00:38:39 +0000 2023,1660,108,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664401854158045185,@dogeofficialceo True,Elon Musk,elonmusk,2023-06-01T22:41:39.000Z,Thu Jun 01 22:41:39 +0000 2023,1566,94,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664401666064498688,@Scobleizer Neuralink,Elon Musk,elonmusk,2023-06-01T22:40:54.000Z,Thu Jun 01 22:40:54 +0000 2023,2694,199,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664401405015126016,"@MattWalshBlog It will be advertising-restricted, as advertisers have the right to decide what content their ads appear with, which will impact reach to some degree",Elon Musk,elonmusk,2023-06-01T22:39:52.000Z,Thu Jun 01 22:39:52 +0000 2023,8253,523,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664393565009588226,@e_kaspersky @ElFaith3 Does lockdown mode address this?,Elon Musk,elonmusk,2023-06-01T22:08:43.000Z,Thu Jun 01 22:08:43 +0000 2023,693,44,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664389033701568513,@TheBabylonBee I do actually like avocado toast tbh lol,Elon Musk,elonmusk,2023-06-01T21:50:43.000Z,Thu Jun 01 21:50:43 +0000 2023,8242,265,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664388745313787907,@TheBabylonBee ????,Elon Musk,elonmusk,2023-06-01T21:49:34.000Z,Thu Jun 01 21:49:34 +0000 2023,8420,263,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664387312057217028,"RT @DirtyTesLa : Powerwall is one of the best products I've ever purchased. Nothing but sunny blue skies for over a week, yet power is out for 5k+ customers.

Check out more details of my @Tesla Powerwall experience here https://t.co/8zaghChvEx https://t.co/fWHc95f2m6",Elon Musk,elonmusk,2023-06-01T21:43:52.000Z,Thu Jun 01 21:43:52 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,https://youtu.be/DA3fRMm3a0c ,0,1,photo,https://pbs.twimg.com/media/FxfTjZRXsAITN2R.jpg,https://pbs.twimg.com/media/FxfTj0TWIAAmdsM.jpg,,
1664386288739405825,@TheRabbitHole84 Yup,Elon Musk,elonmusk,2023-06-01T21:39:48.000Z,Thu Jun 01 21:39:48 +0000 2023,6016,324,und,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
